loop|id|group|activity|descriptiono
1476|BDU|55|on the move|a lowprofile design full of function wear this crossbody over or under your clothes or remove the strap and youve got a versatile clippable pouch
1477|BDV|98|on the move|the future is bright designed with our labexclusive knit jacquard this half zip delivers texture softness and stretch to keep you moving forward in comfort
1478|BDW|9|running|five miles ten blocks twenty minuteswhatever kind of run youre on this stretchy longsleeve layer keeps up through every stride
1479|BDX|59|on the move|hello there shoulder season got some chills and raindrops planned this lightasair insulated reversible bomber cant wait
1480|BDY|84|on the move|float through your day in this relaxedfitting silkysmooth top
1481|BDZ|41|running|your best pace awaits running is 90 percent mental strength the lightweight waterrepellent fabric on these joggers will help you conquer the last 10 rain or shine
1482|BEA|33|training|high coverage meets straps that dont slide this bra keeps everything in place so you can put your all into it without the worry of spilling out
1483|BEB|48|on the move|sometimes the best plan is no plan at all these crops are perfect for spontaneous days and easygoing nights
1484|BEC|72|on the move|keep your cards close this wearable case can be worn lanyardstyle or crossbody or detach the adjustable strap to transform it into a clippable pouch
1485|BED|31|yoga|when feeling nothing is everything powered by nulu fabric this version of our BrightJupiter align crop still feels weightless and butterysoft with added pockets for essentials
1486|BEE|17|training|that feeling when youre training and a tiny breeze feels like paradise this antistink tank has open holeventilation to maximize airflow
1487|BEF|17|training|that feeling when youre training and a tiny breeze feels like paradise this relaxed antistink tank has open holeventilation to maximize airflow
1488|BEG|90|running|zone in run strong stay protected powered by senseknit technology this jacket has zoned ventilation and element protection where you need it
1489|BEH|74|on the move|made for city adventures this backpack is fully stocked with pockets to take you from gym to office to anywhere
1490|BEI|23|on the move|the best of both worlds polished yet comfortable these drapey joggers are made from breezy ventlight fabric to help keep you cool
1491|BEJ|63|training|this antistink quickdrying tee is your best teammate in sweaty training situations
1492|BEK|52|yoga|love at first feel the instill yoga collection provides smoothing support and softness you can feel in every breath stretch and pose
1493|BEL|69|training|train hard adventure harder  these waterrepellent  versatile pants can handle  tough outdoor training  sessions and exploring new  trails
1494|BEM|69|training|train hard adventure harder the abrasionresistant fabric on these versatile pants can handle burpees and backpacking
1495|BEN|26|on the move|who doesnt like options this bag easily converts from backpack to tote because less pressure on your body means more flexibility in your day
1496|BEO|17|on the move|we designed this loungeworthy pullover for feeling the bliss whether youre on the move or taking a moment
1497|BEP|26|on the move|power through your day with this crossbody bag add the removable shoulder strap when you want to take it handsfree
1498|BEQ|55|on the move|whether your morning starts with errands or a picnic in the park this bag is ready for it wear it over your shoulder crossbody or remove the strap for quick move moments
1499|BER|52|running|from switchbacks to gnarly terrain these lined shorts are ready for whatever ground you cover spacious dropin pockets store your headlamp and other trail run essentials
1500|BES|76|training|toss on this breathable antistink headband to keep hair and sweat out of your face
1501|BET|76|training|this antistink breathable and wicking headband keeps hair and sweat out of your face
1502|BEU|76|training|toss on this antistink headband and keep your hair and your sweat out of your face while youre working out
1503|BEV|74|on the move|the tee youll want to wear to and from class every day to keep the bliss goingwere not here to stop you
1504|BEW|7|on the move|this tee is lightweight and soft to give you that postpractice bliss feeling all day long you wont want to take it off
1505|BEX|86|running|warm up train hard cool down these joggers are designed to keep up with you too hot no sweat zips at the cuff let you delayer fast
1506|BEY|24|yoga|your practice has never felt so good these joggers are designed to minimize distractions and maximize comfort as you flow through yoga
1507|BEZ|31|yoga|when feeling nothing is everything powered by nulu fabric this version of our BrightJupiter align crop still feels weightless and butterysoft with a crossed and gathered waist
1508|BFA|31|yoga|when feeling nothing is everything powered by nulu fabric this version of our align crop still feels weightless and butterysoft with a crossed and gathered waist
1509|BFB|31|yoga|when feeling nothing is everything this version of our align yoga collection still feels weightless and butterysoft with a crossed and gathered waist
1510|BFC|68|running|get your kit together this  lightweight antistink  running top has all the  technical properties you need  to get through race day in  comfort
1511|BFD|68|running|your best pace awaits this lightweight antistink running top has all the technical properties you need to get through race day in comfort
1512|BFE|42|training|this ultralightweight tee is designed to keep up with your training mesh fabric and a cropped length give you freedom to move and sweat
1513|BFF|74|on the move|comfortable classic and casualanything but basic this relaxed tshirt is designed to add ease to your day
1514|BFG|42|hiking|hit the trails fasten the removable gaiter to the inside of this bucket hat to keep your neck covered or snap the detachable face mask to the gaiter and keep trekking
1515|BFH|6|running|as reliable as your favourite run route powered by our supportive luxtreme fabric these crops always deliver with lots of pockets and a hit of reflectivity
1516|BFI|16|running|dont let seasonal chills keep you away from the track or trail this bodymapped vest has strategically placed zones of insulation to keep your run focused not freezing
1517|BFJ|67|running|sprints anyone we added perforated details to this lightweight running tank for extra breathability in sweaty situations
1518|BFK|83|running|beat the chill in this neck warmer designed for cold weather short days and long runs
1519|BFL|11|on the move|hello effortless this onestopshop dress has a back slit for ease of movement a slim fit and a softerthansoft feel
1520|BFM|55|on the move|elevate and simplify your postpractice look with a minimal dress wear it on its own or over your tights
1521|BFN|71|yoga|take your stretches even deeper this stretchy padded strap has builtin loops to increase your range of motion during folds and shoulder openers
1522|BFO|65|on the move|take the edge off busy days with this puffy duffle designed with curved pockets plenty of functionality and room for possibilities
1523|BFP|36|on the move|if out of office was a feeling this polo would fit the bill minimally seamed antistink fabric can handle a full days adventure
1524|BFQ|96|on the move|youve got options this back pack converts into a tote and has dedicated storage for your laptop and water bottle
1525|BFR|28|on the move|feel the stretch love the softness this fully lined halfsleeve tee is designed to move with you no matter how you dress it up or down
1526|BFS|2|running|long strides welcome we made these highcoverage run shorts with a little extra room in the leg opening
1527|BFT|95|running|we made these highcoverage run shorts with extra room to keep up with your pace and long strides
1528|BFU|1|training|powered by everlux fabric this version of our quickdrying wunder train collection has pockets so you can get sweaty stay focused and keep your workout essentials close
1529|BFV|2|yoga|stretch into your practice this ribbed butterysoft tank has all the coverage you need for forward folds backbends and everything in between
1530|BFW|38|on the move|for travel days office days  and those hangoutatthepark  days this lightweight  relaxedfit half zip will keep  you feeling and looking cool
1531|BFX|57|yoga|you your practice and nothing else made of butterysoft nulu fabric these crops are free from distracting details so you can focus on holding the next pose
1532|BFY|33|yoga|choose the rise these reversible tights have a cinchable waistband so you can wear them high for coverage or cinched down
1533|BFZ|33|yoga|choose the rise these tights have a cinchable waistband so you can wear them high for coverage or cinched down
1534|BGA|38|hiking|brisk morning climbs and drizzly afternoon descents have nothing on this hiking zipup fleecebacked waterrepellent fabric helps keep you cozy and dry all day
1535|BGB|98|on the move|when warm days turn to cool nights this jacket is the justright layer you need plus its reversibleno outfit change required
1536|BGC|42|on the move|say goodbye to rummaging  through the depths of your bag  for keys use the carabiner to clip the keychain on to any bag
1537|BGD|65|running|these mittens are fully loaded for running in cold wet weather layer them on top of your favourite running gloves for an extra dose of insulated warmth
1538|BGE|46|on the move|navigate the great outdoors in this insulated vest powered by thermochannel construction to lock in heat its made from stretchy fabric to keep you warm and agile in the cold
1539|BGF|13|on the move|simplify without compromising this long sleeve has a relaxed fit fluid drape and minimal clean lines
1540|BGG|1|training|dial into your training powered by highly breathable everlux our fastest drying fabric this bra combines support and coverage so you can breeze through hot sweaty workouts
1541|BGH|17|on the move|life is full of sweaty situations whether youre warming up or commuting this soft jacket looks good while managing sweat
1542|BGI|0|on the move|feel it to believe it the inside of this pullover feels like a cool breeze on warm skin while the outside is peachfuzz soft what more could you want after a workout
1543|BGJ|52|training|elevate your next gym session in these abrasionresistant training gloves quick wraps help keep wrists secure during movements like kettle bell swings and rowing
1544|BGK|9|running|whatever your pace this lightweight long sleeve will keep up scalloped slits on the sides offer ventilation and unrestricted movement stride after stride
1545|BGL|65|hiking|detours welcome built with plenty of storage these waterrepellent pants hold your hiking essentials on trails and beyond
1546|BGM|65|hiking|detours welcome built with plenty of storage these lined waterrepellent joggers hold your hiking essentials on trails and beyond
1547|BGN|7|on the move|let this tank sweep you in softness it feels so silky next to skin you may never want to take it off
1548|BGO|87|yoga|flow freely made from our buttery soft nulu fabric this ruched longline bra follows your every move so you can float through yoga flows without restriction
1549|BGP|55|on the move|store your small important documents in this roomy wallet remove the shoulder strap to wear it as a clutch or go handsfree and wear it crossbody
1550|BGQ|38|on the move|this oversized woolblend jacket keeps you wrapped in warmth all day long
1551|BGR|99|yoga|feels almost as good as savasana these reversible yoga bras powered by weightlessly soft nulu fabric wrap you in buttery softness
1552|BGS|47|on the move|feel the bliss from running errands to chill nights in this loungeworthy skirt dials up the softness
1553|BGT|52|training|fuel your ambition in these versatile tights supportive fabrics and a superhigh rise keep you feeling covered and confident during your sweat sessions
1554|BGU|54|on the move|snowy slopes are in the forecast this fleecy half zip fits over your favourite base layer for an added dose of warmth on and off the mountain
1555|BGV|65|running|lightweight running socks designed with microcushioning in the heel and toe for comfort during your sweatiest workouts
1556|BGW|28|on the move|feel it to believe it this longsleeve dress has a peachfuzz touch thats impossible to resist dress it up or down and enjoy the softness all day
1557|BGX|12|on the move|this playful pullover is here to party with bold colours and soft lightweight yarns this sweater is the bright light your sweater collection is missing
1558|BGY|54|on the move|made to perform on outdoor adventures this technical merino woolblend beanie is the cherry on top of your coldweather wardrobe
1559|BGZ|14|on the move|one touch of this softly textured jumpsuit and youll want to wear it on repeat
1560|BHA|29|swim|the waters calling when you want to feel covered but not too covered reach for this onepiece swimsuit that has a high neck and plunging back
1561|BHB|98|on the move|lightweight waterproof and breathable this tailored rain jacket is the ideal everyday piece to keep you dry when youre on the move fully seamsealed and made with waterproof breathable glyde fabric
1562|BHC|65|on the move|put your best foot forward in these goanywhere socks designed with seamless chafefree toes and a snug arch support for allday comfort
1563|BHD|30|swim|ready for hot days and cool dips this swim top has an open square neckline and back closure
1564|BHE|14|on the move|easy does it pull on this soft heavyweight crew neck to stay cozy and comfortable while out and about
1565|BHF|95|running|go from your 5k run to your paddleboard in this lightweight hat
1566|BHG|0|on the move|all day hug yes please this cozy everyday layer has a snug hood to frame your face and a closetobody fit that feels like a warm squeeze
1567|BHH|70|running|let off some steam in this waterrepellent beanie brushed fleece fabric helps keep you warm during cold weather runs
1568|BHI|70|running|let off some steam in this waterrepellent beanie made from brushed fleece fabric to help keep you warm during cold weather runs
1569|BHJ|16|running|dont let the cold hold you back this waterrepellent beanie is made of brushed fleece fabric to help keep you warm during coldweather runs
1570|BHK|92|on the move|every workout deserves a cozy recovery this cropped pullover is made from breathable fleece fabric and pairs perfectly with high rise tights for easy postgym comfort
1571|BHL|95|on the move|dial up your comfort level these slimfit trousers have elastic waist panels to customize your fit while waterresistant fabric keeps you moving in fluctuating weather
1572|BHM|90|on the move|step outside the box this pullover is constructed using an innovative 3d knitting technology to reduce the number of seams and minimize fabric waste
1573|BHN|17|running|whether youre running 1 mile 5k or 10000 metres you can count on this highneck tank powered by nulux fabric to get you through it with zero distractions
1574|BHO|75|yoga|when feeling nothing is everything powered by nulu fabric this version of our BrightJupiter align pants feels butterysoft while ribbed panels add dimension to your practice
1575|BHP|1|running|keep endorphins high when the temperatures low this running top powered by our antistink technology keeps you warm and feeling fresh from trail to track
1576|BHQ|12|on the move|a classic base layer to contour your shape because layering is always a good idea
1577|BHR|87|on the move|soft antistink fabric check roomy fit check bonus pocket for your small stuff mini check this tee has it all
1578|BHS|93|on the move|your outdoor plans just got a whole lot comfier this jacket has the familiar fit of your favourite hoodie plus stretchy waterproof fabric
1579|BHT|98|on the move|this zipfront jumpsuit is made in a waterrepellent textured stretch fabric to keep you moving from dawn till dusk
1580|BHU|53|yoga|take a breath and go deep this lightweight tank has mesh fabric panelling so you can feel the airflow as you sink into every pose
1581|BHV|49|on the move|BrightJupiter lab creates lifestyle essentials for the modern wardrobe blending streamlined function with innovative design built with mobility in mind this supersoft longsleeve tee features a unique wash and a dolman sleeve for easy movement and effortless style
1582|BHW|74|running|add another mile to your coldweather run this vest helps protect you from the elements and has stretchy fabric where you need to move
1583|BHX|93|on the move|soft and stretchy with a twist add some charm to your daily routine in this cropped pima cotton tee with a twistfront detail
1584|BHY|49|on the move|BrightJupiter lab creates lifestyle essentials for the modern wardrobe each transitional piece is designed to embrace the natural rhythm of urban life blending streamlined function with innovative design built with mobility in mind this supersoft shortsleeve tee features a unique dye and a dolman sleeve for easy movement and effortless style
1585|BHZ|31|yoga|when feeling nothing is everything powered by nulu fabric this ribbed version of our BrightJupiter align pants feels weightless and buttery soft
1586|BIA|22|on the move|part of a limitededition BrightJupiter collection for mr porter these slimfit technical pants are inspired by chinos and made for allday comfort
1587|BIB|93|on the move|this jacket hits the sweet spot between comfort and function textured waterrepellent fabric and a relaxed silhouette take your casual look up a notch
1588|BIC|98|on the move|for when the weather cant make up its mind this vest is your justright layer of warmth with lightweight primaloft insulation and fabric that repels the rain
1589|BID|8|yoga|take your practice to the next level the instill collection provides smoothing support and softness you can feel in every breath stretch and pose
1590|BIE|13|on the move|the weekend called and this sweater answered a soft knit and relaxed fit with dropped armholes give you comfort and mobility
1591|BIF|98|on the move|for when the weather cant make up its mind this vest is your justright layer of warmth with lightweight primaloft insulation and fabric that resists the rain
1592|BIG|55|on the move|choose your look and fit in this tee tie a bow in the back to wear loose or thread the tie through the side seam slit for a closetobody fit
1593|BIH|84|on the move|get that extra spring in your step all day and all night in these comfy doublecuffed quarter socks
1594|BII|89|on the move|we minimized the seams and hardware on this bra so much you might need to check and make sure youre wearing one
1595|BIJ|52|running|be unstoppable in this lightweight sweatwicking and fourway stretch short sleeve now you can push yourself even further because this bad boy has antistink technology seamless construction for reduced chafe and mesh construction for maximum breathability perfect for highpower runs intense workout sessions or any other way you like to train go ahead get your sweat on
1596|BIK|18|training|seamless construction and antistink technology make this shirt trainingsession ready
1597|BIL|30|on the move|flushed face after hot sweaty workouts our improved formula instantly cools and hydrates skin while leaving a fresh minty scent its like a cold drink of water for your face
1598|BIM|29|on the move|with inner and outer layers that can be worn as separate jackets or snapped together this transformable parka is like climate control for whatever the weather throws at you
1599|BIN|76|on the move|keep the sweat out of your eyes in this customizable headband
1600|BIO|65|running|stay warm and comfortable during coldweather runs this sleek jacket balances targeted wetweather protection with freedom of movement
1601|BIP|86|running|these lightweight pants have zips at the cuff for quick on and off when youre warming up
1602|BIQ|24|running|these track pants were designed to be your goto for warms ups and cool downs
1603|BIR|16|running|shorter days wont slow you down perfect your pace in this cozy cropped half zip with reflective details
1604|BIS|21|on the move|this woven jumpsuit gives you a tailored silhouette without imposing restrictions frontsnap closures make for easy on easy off
1605|BIT|39|on the move|easy comfortable and never clingy these crops are in our afterpractice hall of fame
1606|BIU|42|on the move|we designed these loose fitting crops to layer over tights and shorts as you head to and from the studio
1607|BIV|3|on the move|a reputation a vibe a way of life designed in la for you these highrise shorts are made in a soft french terry fabric and feature side panels for bonus mobility
1608|BIW|4|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection performance fabric makes these crops a sweaty staple
1609|BIX|4|yoga and training|lunge train or flow in the versatile wunder under collection powered by luxtreme fabric these crops are a sweaty staple with a scalloped hem detail
1610|BIY|4|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these crops are a sweaty staple with a scalloped hem
1611|BIZ|4|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection powered by luxtreme fabric these scallophem crops are a sweaty staple
1612|BJA|29|on the move|we hacked the collared shirt this soft and stretchy number is built with antistink technology so you can wear it again and again and again
1613|BJB|54|tennis|on the court or on the trails keep them on their toes in this lined lightweight skirt
1614|BJC|54|tennis|on the court or on the trailskeep them on their toes inthis lined lightweight skirt
1615|BJD|34|on the move|who says you cant feel comfortable and sleek at the same time this soft cozy zipup gives you room to breathe and a contoured fit
1616|BJE|23|training|we designed these lightweight linerless training shorts with sweat in mind made with swift ultra fabric that is lightweight fourway stretch and sweatwicking
1617|BJF|60|training|train hard every day these lightweight fanfavourite workout shorts have a split hem to keep you agile
1618|BJG|31|yoga|when feeling nothing is everything powered by nulu fabric this special edition of our BrightJupiter align shorts feels weightless and buttery soft with ruched details
1619|BJH|0|training|with a comfortable fit that hugs your head and a soft sweatloving fabric this headband helps keep your focus where it should be your workout
1620|BJI|23|training|get in more reps and sets in these versatile tights varied textures are seamlessly integrated for a secondskin fit that moves with you
1621|BJJ|4|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection minimal seaming a wide waistband and performance fabric make these a sweaty staple
1622|BJK|4|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by ribbed luxtreme fabric these shorts are a sweaty staple
1623|BJL|49|on the move|water is life savour every drop for this earth day collection our black wunder under short gets its colour from solution dye a technique that uses up to 50 less water than traditional dyeing methods
1624|BJM|20|training|made from highperformance fabric this sweatwicking hoodie keeps things lightweight and breezy even in the heat
1625|BJN|95|on the move|from cold to warm and back again these cozy knit joggers transition effortlessly through your day your week even your year
1626|BJO|29|running|running never felt so good this revolutionary bra is made from our smooth and powerful ultralu fabric to give you comfortable support and a natural shape
1627|BJP|0|running|running never felt so good this revolutionary bra gives you comfort movement management and a natural shape
1628|BJQ|75|running|running never felt so good this revolutionary bra is powered by ultralu our smooth fabric to give you comfortable support and a natural shape
1629|BJR|93|on the move|with soft fabric a relaxed fit and just the right amount of coverage this lightweight crew neck is everything you love about your favourite tshirt in a sweater
1630|BJS|65|on the move|take the edge off busy days with this puffy backpack designed with curved pockets plenty of functionality and room for possibilities
1631|BJT|13|training|support your training this bra has a zipfront feature for quick onoff and mesh panelling to bring on the breeze
1632|BJU|75|on the move|with a waistband inspired by classic trousers these drapey shorts help you feel puttogether and ultracomfortable
1633|BJV|80|on the move|this pullover takes cozy seriously with bodymapped panels of primaloft insulation and textured fleece fabric itll give you that warm and fuzzy feeling indoors and out
1634|BJW|24|yoga|these lightweight highrise shorts minimize distractions and maximize comfort as you flow through your yoga practice
1635|BJX|66|on the move|this one stands out from the crowd for days when youre craving a break from routine this longsleeve shirt with a halterstyle neck is an instant eyecatcher
1636|BJY|26|yoga|practice anywhere we made this super lightweight yoga mat easy to pack and store
1637|BJZ|32|yoga|this lightweight mat is easy to pack and ideal for yogis who commute or travel
1638|BKA|32|yoga|ideal for yogis who commute or travel this lightweight mat is easy to pack
1639|BKB|17|on the move|keep small things organized in this soft pillowlike pouch whether youre off to the gym or packing for the weekend it holds what you need
1640|BKC|14|on the move|days on the go just got easier this cropped jacket has a strap on the inside so you can carry it handsfree and waterresistant fabric to keep you dry in a flash
1641|BKD|72|on the move|wear it your way poncho or scarf either way this versatile layer is peak cozy
1642|BKE|36|on the move|a poncho a scarf or a sweaterthis versatile layer is the perfect packable companion for travel near or far stay stylish while youre on the go
1643|BKF|63|on the move|rain or shine this hat is  ready for change with a  lightweight fabric and  flexible brim it tucks in  your pocket without losing its  shape
1644|BKG|23|on the move|wear live repeat a relaxed fit waterrepellent fabric and plenty of storage options make these overalls your new uniform
1645|BKH|92|on the move|a favourite you reach for again and again this minicrossbody backpack holds all your essentials and is straightup comfy
1646|BKI|32|on the move|ready to shine these sparkly socks will brighten your day seamless toe construction makes for a comfortable fit in any shoeor slipper
1647|BKJ|44|running|gone in a flash this fleece beanie has a reflective print to help keep you on the radar during coldweather runs
1648|BKK|54|on the move|keep warm and dry during city excursions in this insulated reversible bucket hat quilted on one side and waterrepellent on the other its just what you need on a chilly day
1649|BKL|8|on the move|these joggers let you get in and out of training sessions and on with the rest of your day without losing your cool
1650|BKM|68|on the move|do it all run errands clean out your inbox and enjoy date night in this lightweight dress designed to be your everyday goto
1651|BKN|55|yoga|this loosefitting jogger is your perfect practice companion wear it on its own to a flow class or layer over booty shorts for hot yoga
1652|BKO|95|running|run fast and let your hair free in this sweatwicking hat with a wideback opening to help keep you cool
1653|BKP|67|on the move|we designed this lightweight relaxed fitting tank to provide breezy coverage for any and all of your sweaty endeavours
1654|BKQ|18|on the move|sprints anyone this lightweight tank has mesh fabric panels for breathability in sweaty situations
1655|BKR|62|on the move|soft comfy woolblend fabric and secure storage for essentials this zip hoodies a punch above your usual sweatshirt
1656|BKS|10|yoga|when your water bottles empty and theres still 20 minutes to go this bras seamless openknit construction keeps you cool in hot classes
1657|BKT|44|on the move|a classic short sleeve youll reach for again and again this time with a twist detail and open back for extra airflow
1658|BKU|63|on the move|your postpractice glow feels even better in this incredibly comfortable crew
1659|BKV|92|running|a good run is a state of mind this jacket is made from fourway stretch fabric for effortless movement that doesnt distract from your runners high
1660|BKW|68|on the move|this lightweight drapey tank will keep your spirits lifted long after youve left your practice tuck it in or adjust the straps to customize your poststudio look
1661|BKX|23|training|burpees deadlifts and beyond made from abrasionresistant fabric these crops handle challenging training sessions
1662|BKY|96|on the move|this microsized city adventurer backpack has adjustable shoulder straps and converts easily from backpack to crossbody bag
1663|BKZ|74|on the move|workout gear check yoga mat check laptop check the only thing left for you to do is to start your day
1664|BLA|55|on the move|inspired by a classic jean jacket this light layering piece makes it easy to get from point a to point b without compromising on comfort or style
1665|BLB|9|on the move|we levelled up a wardrobe staple inspired by a classic denim jacket this versatile layer is made with abrasionresistant fabric to keep up with your day
1666|BLC|17|running|not down to bare it all layer these lightweight tights under your shorts when youre heading out for a run
1667|BLD|47|hiking|power up trails with ease this breezy pullover has a ventilated back to keep air moving on steep climbs when you stop for a snack cinch the vent closed to keep chills out
1668|BLE|47|tennis|its a perfect match this lightweight tennis jacket serves up fourway stretch waterrepellent fabric to keep you moving across the court in comfort
1669|BLF|92|tennis|made for match point this breathable dress has a perforated back panel for peak ventilation plus the aline skirt makes crosscourt dashes easy
1670|BLG|20|yoga|focus on your breath in these gracefully gathered crops made from butterysoft nulu fabric
1671|BLH|1|training|focus on your strength not your sweat powered by everlux fabric the invigorate collection handles heat and sweat during workouts
1672|BLI|87|hiking|stay cool and dry as you take on the trails this waterrepellent hiking shirt has large mesh underarm panels so you dont overheat as you climb
1673|BLJ|28|running|dont be afraid to pick up the pace unzip the shoulder vent on this soft running top for easy ventilation when you need it
1674|BLK|26|on the move|this lightweight effortless tote has a drawstring top so you can dash to class with your essentials securely in tow
1675|BLL|88|on the move|the biggest difference between this cozy blanket scarf and an actual blanket is that this one looks amazing when you wear it outside
1676|BLM|17|on the move|with a cut designed to accommodate movement this waterproof jacket wont hold you back when youre taking on the great and rainy outdoors
1677|BLN|28|on the move|feel it to believe it this zip up has a peachfuzz touch thats impossible to resist dress it up or down and enjoy the softness all day
1678|BLO|5|training|take your training outdoors this lightweight waterrepellent jacket is packed with functional details that let you hit the ground running
1679|BLP|55|running|day or night rain or shine get outside in this waterrepellent and breathable jacket
1680|BLQ|23|running|free stride free mind these running tights are made of warm technical fabric for coldweather running
1681|BLR|28|on the move|feel it to believe it these joggers have a peachfuzz touch thats impossible to resist dress them up or down and enjoy the softness all day
1682|BLS|73|training|take a power position in this bra that gives you the support you need for dynamic sweat sessions
1683|BLT|23|hiking|wilderness worthy lightweight insulation and stretchy waterrepellent fabric make these hiking pants essential for shoulderseason adventures
1684|BLU|46|training|stay locked in from start to finish with seamlessly knit zones of compression and breathability
1685|BLV|10|hiking|challenging trails can make cool days feel hot and sticky but not in this hiking vest its filled with lightweight breathable insulation to keep you warm not overheated
1686|BLW|63|on the move|craving casual comfort youll love cozying up in this stretchy hooded pullover thats inspired by our scuba hoodie
1687|BLX|73|training|from a little sweaty to a lot sweaty this is the training top for that abrasionresistant quick drying and of course sweatwicking
1688|BLY|9|running|keep cool when the intensity heats up overlapped side seams on this lightweight tank offer airflow and room to move just like a classic running short
1689|BLZ|14|running|keep your hands warm as you run on brisk mornings with these lightweight gloves
1690|BMA|56|hiking|hike in comfort strategic seam placement on this lightweight top reduces chafe from pack straps while a snapbutton placket lets you catch some airflow when the temperature rises
1691|BMB|17|on the move|this lightweight  sweatwicking jacket is the  perfect cooldown layer when  youre on the go
1692|BMC|61|on the move|this slim double pouch makes the perfect clutchit has plenty of functional pockets and a hidden phone slot in the middle
1693|BMD|61|on the move|this slim wristlet makes the perfect clutch it has plenty of pockets and a hidden phone slot in the middle
1694|BME|58|training|keep your cool through any workout in this flowing vneck tank
1695|BMF|96|on the move|your anytime anywhere pants a relaxed fit and oversized cargo pockets offer max mobility and storage
1696|BMG|86|on the move|layer up warm up and get ready to lift this textured half zip gets you to the gymand through your dayin relaxed comfort
1697|BMH|34|hiking|dont let the soft fabric fool you this fleece hiking vest isnt afraid of a little rain we treated it with a waterrepellent finish to keep you comfortable in wet weather
1698|BMI|98|on the move|this waterproof down parka is on a mission to keep you warm and dry with technical wool fabric and bodymapping for strategic warmth
1699|BMJ|53|on the move|this trench keeps chills away with lightweight insulation and waterrepellent fabric plus it has enough room to layer over your favourite sweaterno outfit adjustments needed
1700|BMK|52|training|go beyond the gym integrated ventilation abrasionresistant fabric and protection from light rain make these pants outdoor training approved
1701|BML|40|on the move|go full cozy in these mittens lined with textured fleece fabric for warmth thats softer than soft
1702|BMM|12|on the move|an elevated basic this lightweight woolblend tshirt is soft against your skin making it a layering essential
1703|BMN|33|on the move|wear this halfzip pullover out for the day the relaxed fit layers over any outfit so theres no excuse not to take the scenic route
1704|BMO|55|yoga and training|layer or keep it simple this studioready bodysuit features seams that contour your body and a builtin shelf bra for one less decision in your day
1705|BMP|29|training|seamless construction antistink technology and strategic venting make this a polo you wont be afraid to sweat in
1706|BMQ|32|on the move|the ones youll want to wear on repeat softly textured fabric and a classic tapered fit make these pants perfect for your workday or weekend routine
1707|BMR|63|on the move|with warm waterrepellent fabric and tailored touches this shirt jacket will live in your closet rentfree
1708|BMS|76|on the move|keep your hair out of your face and your head in the game with this lightweight quickdrying scrunchie
1709|BMT|14|running|put a bow on it we made this scrunchie to keep your hair out of your eyes during tough workouts
1710|BMU|18|yoga|energy bra  breezy technical fabric  this sweatready twoinone tank with an energy bra built in this drapedback tank gives you support and coverage for highintensity workouts
1711|BMV|40|on the move|feel cozy in this soft crewneck sweater thats perfect for lightweight warmth after class
1712|BMW|29|on the move|going somewhere this sleek anorak was designed with plenty of secure pockets so you can take the essentials with you and maybe a little more
1713|BMX|71|on the move|its the little things that
1714|BMY|89|on the move|feel unrestricted in your workout this tank offers an easy fit that moves with you no matter how hard you go
1715|BMZ|23|yoga|calm is always just a practice away nearly seamless and pocketfree these soft and simple crops make floor work extra comfortable
1716|BNA|57|on the move|keys check cards check keep those essentials right where you can see them
1717|BNB|97|yoga|this strappy openback bra is designed for smallbusted yoga enthusiasts
1718|BNC|97|yoga|this strappy openback bra is
1719|BND|5|yoga|meet yourself on the mat this strappy openback bra is ready for all the ways you move stretch and open
1720|BNE|84|yoga|wild and free we designed this strappy openback yoga bra with full freedom of movement in mind
1721|BNF|56|yoga|we created this innovative mat based on your feedback extra grip at the ends keeps you firmly grounded in downward dog while a smooth middle allows for fluid jump throughs cover with the towel during hot yoga made with our newly developed luvea rubber thats natural sustainablysourced and certified to the fsc forest stewardship council
1722|BNG|87|training|you dont do it because its easy this highsupport high neck bra has breezy mesh fabric ventilation for your hardhitting sets and sprints
1723|BNH|56|swim|slip on this lightweight coverup for airy coverage at the beach or pool the fabrics quickdrying so youll feel comfortable between swims
1724|BNI|9|on the move|a shirt that has your back strategically placed waterrepellent panels on this overshirt keep you dry when the sky opens up
1725|BNJ|13|yoga and training|studio ready with a front keyhole and a meshpanelled scoop back this cropped tank offers maximum mobility and airflow
1726|BNK|34|on the move|stash this pullover in your gym bag for a quick transformation after class made from performance fabric we designed it in a relaxed silhouette so you wont feel it cling to sweaty skin
1727|BNL|41|yoga|made with butterysoft nulu fabric this longline bra has front and back crossover details to keep you feeling covered during yin and meditations
1728|BNM|22|training|stay cool and focused powered by everlux our fastestdrying fabric the in movement collection manages heat and sweat in hot and humid studios
1729|BNN|92|swim|time for a dip this onepiece is ready for swimming and sunshine with a skimpy cut and customizable straps and closure
1730|BNO|14|on the move|when youve got a busy day ahead throw on this soft pullover to feel put together polished and ohsocomfy all at the same time
1731|BNP|87|running|we remodeled and thought you should know your favourite run pack made ultra lightweight with removable sternum straps
1732|BNQ|9|on the move|let the cold weather adventures begin this parka has zoned weights of down insulation and a transformable hem and sleeves so you can layer up or down with the temperature
